HH_ID,AGE_REF,FAM_SIZE,BLS_URBN,REGION,CUTENURE,VEHQ,FINLWT21,TOTEXPCQ,HOUSCQ,TRANSCQ,FOODCQ,HEALTHCQ,ENTERTCQ,MORTGAGE_QTR
0451187,32,1,1,1.0,4,0,36238.962,19099.1332,5632.6667,10538.0,1820.0,0.0,0.0,0.0
0451189,55,1,1,4.0,4,1,13878.698,24138.3334,15719.0,2020.0,2686.6666999999998,444.0,535.0,0.0
0451192,45,6,1,3.0,4,1,59545.19,25547.3666,10290.0,2011.0,8620.0,0.0,1480.0,0.0
0451195,64,6,1,4.0,2,3,32740.667,100612.3333,15255.3333,49170.0,13996.6667,11614.6667,2325.0,0.0
0451197,40,5,1,3.0,1,3,32510.801,45434.3235,21013.0,5053.0,6216.6667,570.0,3710.0,0.0
0451198,55,2,1,3.0,1,0,20057.645,9071.2334,4752.3333,728.0,1386.6667,200.0,178.0,0.0
0451200,48,2,1,3.0,2,0,26902.117,9584.000100000001,4562.0001,0.0,2201.3334,1625.3333,467.0,0.0
0451201,59,1,1,2.0,1,1,26183.523,47477.0,6162.9999,15885.6667,4155.9999,2706.0,3610.0,0.0
0451202,38,3,1,3.0,1,2,29432.08,18788.1668,7222.333299999999,690.0,3423.3333000000002,3549.3334,491.0,0.0
0451203,47,4,1,4.0,1,3,18549.653,65663.7331,21186.6667,4712.3333,10460.6666,2630.0001,4346.3333,0.0
0451205,23,1,1,3.0,1,2,33014.301,5695.2666,3256.0,711.0,693.3333,0.0,72.0,0.0
0451208,41,3,1,2.0,4,2,15146.306,26339.6669,6707.3333,1080.0,2230.0,8308.3334,1093.0,0.0
0451213,43,6,1,4.0,1,4,15163.77,61002.66649999999,20307.999900000003,4953.3333,10774.0,3306.0,2273.0,0.0
0451215,57,1,1,2.0,2,6,14800.928,13965.5001,1568.6667,1671.6667,3076.6666999999998,0.0,6762.0,0.0
0451217,87,5,2,3.0,2,2,21269.569,4832.3333,2376.0,0.0,1560.0,585.3333,64.0,0.0
0451220,58,2,1,3.0,2,1,27098.63,28278.000099999997,4634.3333,4367.0,4734.3333999999995,7348.3333,184.0,0.0
0451223,66,1,1,3.0,4,0,26363.452,13606.0,8927.0,0.0,2600.0,1965.3333,97.0,0.0
0451224,22,2,1,4.0,4,3,1782.184,3156.1667,1190.0,1016.6667,740.0,0.0,0.0,0.0
0451226,37,3,1,3.0,1,2,23788.061,38703.7572,12675.0,10130.3333,3813.3333000000002,350.0,2047.0,0.0
0451230,48,4,1,3.0,2,2,22408.516,39032.0,15364.3334,2378.0,3921.6665999999996,3326.3334,5084.0,0.0
0451232,39,4,1,4.0,4,0,30004.328,7859.1666,5236.0,150.0,606.6667,50.0,65.0,0.0
0451233,58,1,1,1.0,2,0,25131.528,30622.166699999998,15798.1667,502.3333,3224.0,8682.0,1326.0,0.0
0451234,68,3,1,3.0,2,5,8459.7,32115.082,11931.6667,291.3333,9507.3333,3073.3333,400.0,0.0
0451237,64,1,2,4.0,1,4,14955.624,15038.1669,6655.0,1222.0,2478.6666999999998,1224.0,609.0,0.0
