QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPREGY,VOPREGY_,VOPMO_C,VOPMO_C_,VOPREGX,VOPREGX_,VOPRGY1,VOPRGY1_,VOPRGY2,VOPRGY2_,VOPRGY3,VOPRGY3_,VOPRGY4,VOPRGY4_
20202,04407541,20,0,1,420,D,05,D,400,D,,A,,A,,A,,A
20202,04407751,35,0,1,400,D,05,D,36,D,,A,,A,,A,,A
20202,04407853,31,0,1,420,D,05,D,160,D,,A,,A,,A,,A
20202,04407871,24,0,1,420,D,04,D,36,D,,A,,A,,A,,A
20202,04407951,28,0,1,400,D,03,D,150,D,,A,,A,,A,,A
20202,04408011,13,0,1,430,D,05,D,,H,410,D,415,D,,A,,A
20202,04408011,13,1,1,410,D,05,D,41,E,,A,,A,,A,,A
20202,04408011,13,2,1,420,D,05,D,169,E,,A,,A,,A,,A
20202,04408112,24,0,1,420,D,05,D,193,F,,A,,A,,A,,A
20202,04408154,28,0,1,410,D,05,D,63,D,,A,,A,,A,,A
20202,04408154,29,0,1,420,D,05,D,39,D,,A,,A,,A,,A
20202,04408161,52,0,1,420,D,05,D,149,D,,A,,A,,A,,A
20202,04408161,53,0,1,420,D,05,D,224,D,,A,,A,,A,,A
20202,04409091,27,0,1,400,D,05,D,55,D,,A,,A,,A,,A
20202,04409141,19,0,1,400,D,05,D,30,D,,A,,A,,A,,A
20202,04409591,28,0,1,420,D,03,D,160,D,,A,,A,,A,,A
20202,04409701,22,0,1,410,D,03,D,20,D,,A,,A,,A,,A
20202,04409701,23,0,1,420,D,03,D,283,F,,A,,A,,A,,A
20202,04409741,30,0,1,420,D,05,D,58,D,,A,,A,,A,,A
20202,04409831,24,0,1,420,D,05,D,72,D,,A,,A,,A,,A
20202,04409921,27,0,1,400,D,04,D,40,D,,A,,A,,A,,A
20202,04409921,28,0,1,420,D,03,D,70,D,,A,,A,,A,,A
20202,04409921,29,0,1,420,D,05,D,70,D,,A,,A,,A,,A
20202,04410061,31,0,1,420,D,03,D,200,D,,A,,A,,A,,A
20202,04410231,42,0,1,430,D,04,D,,H,405,D,415,D,,A,,A
20202,04410231,42,1,1,405,D,04,D,101,E,,A,,A,,A,,A
20202,04410231,42,2,1,420,D,04,D,79,E,,A,,A,,A,,A
20202,04410304,39,0,1,420,D,05,D,453,D,,A,,A,,A,,A
20202,04410661,21,0,1,420,D,04,D,146,D,,A,,A,,A,,A
20202,04410671,22,0,1,420,D,05,D,85,D,,A,,A,,A,,A
20202,04410851,17,0,1,420,D,04,D,250,D,,A,,A,,A,,A
20202,04410991,21,0,1,420,D,05,D,160,D,,A,,A,,A,,A
20202,04411221,33,0,1,420,D,05,D,650,D,,A,,A,,A,,A
20202,04411301,37,0,1,430,D,04,D,,H,425,D,405,D,415,D,,A
20202,04411301,37,1,1,420,D,04,D,32,E,,A,,A,,A,,A
20202,04411301,37,2,1,405,D,04,D,5,E,,A,,A,,A,,A
20202,04411301,37,3,1,420,D,04,D,43,E,,A,,A,,A,,A
20202,04411351,23,0,1,420,D,05,D,127,D,,A,,A,,A,,A
20202,04411691,39,0,1,430,D,04,D,,H,425,D,405,D,415,D,,A
20202,04411691,39,1,1,420,D,04,D,989,E,,A,,A,,A,,A
