QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20202,04215494,11,0,5,01,D,100,D,,A,3,D,03,D,2018,D,,A,,A,,A,18760,T,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20202,04215534,22,0,5,01,D,100,D,,A,3,D,,B,1994,D,,A,,A,,A,4000,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20202,04215544,32,0,5,01,D,100,D,,A,1,D,,B,2008,D,,A,,A,,A,900,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20202,04215724,23,0,5,01,D,100,D,,A,3,D,,B,2004,D,,A,,A,,A,1200,F,,A,,A,,A,,A,1,D,1,D,,A,2,D,,A
20202,04215764,19,0,5,01,D,100,D,,A,3,D,,B,1974,D,,A,,A,,A,6300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20202,04215794,16,0,5,01,D,100,D,,A,3,D,01,D,2019,D,,A,,A,,A,800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20202,04215804,20,0,5,01,D,100,D,,A,3,D,,B,1990,D,,A,,A,,A,1300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20202,04215814,10,0,5,01,D,100,D,,A,3,D,,B,2014,D,,A,,A,,A,1200,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20202,04215824,10,0,5,01,D,100,D,,A,3,D,,B,1999,D,,A,,A,,A,2900,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20202,04215884,20,0,5,01,D,100,D,,A,3,D,04,D,2019,D,153000,D,1000,D,5000,D,500,D,,A,,A,,A,,A,2,D,,A,2,D,2,D,,A
