QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MAJAPPLY,MAJA_PLY,GFTC_MAJ,GFTC0MAJ,MAJ_MO,MAJ_MO_,MAJPURX,MAJPURX_,MAJRENTX,MAJR_NTX,MAJINSTX,MAJI_STX,MJAPPL1,MJAPPL1_,MJAPPL2,MJAPPL2_,MJAPPL3,MJAPPL3_,MJAPPL4,MJAPPL4_,MJAPPL5,MJAPPL5_,MJAPPL6,MJAPPL6_,MJAPPL7,MJAPPL7_,MJAPPL8,MJAPPL8_,MJAPPL9,MJAPPL9_
20204,04546041,1,0,1,160,D,1,D,07,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04546751,1,0,1,140,D,1,D,07,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04546751,2,0,1,100,D,1,D,09,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04546901,1,0,1,140,D,1,D,08,D,325,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04546991,1,0,1,195,D,1,D,08,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04547351,1,0,1,180,D,1,D,08,D,120,D,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04547431,1,0,1,120,D,1,D,07,D,99,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04547891,1,0,1,120,D,1,D,09,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04548011,1,0,1,120,D,1,D,07,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04548251,1,0,1,120,D,1,D,09,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04548261,1,0,1,160,D,1,D,08,D,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04548391,1,0,1,120,D,1,D,08,D,369,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04548431,1,0,1,140,D,1,D,07,D,329,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04548471,1,0,1,120,D,1,D,07,D,298,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04548901,1,0,1,120,D,1,D,07,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04548901,2,0,1,160,D,1,D,08,D,850,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04549221,1,0,1,100,D,1,D,08,D,699,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04550151,1,0,1,120,D,1,D,09,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04550471,1,0,1,160,D,1,D,07,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04550681,1,0,1,160,D,1,D,09,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04551041,1,0,1,100,D,1,D,07,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04551171,1,0,1,195,D,1,D,09,D,758,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
