QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FURNPURY,FURN_URY,FURNMO,FURNMO_,FURNGFTC,FURN_FTC,FURNPURX,FURN_URX,FRNPRY1,FRNPRY1_,FRNPRY2,FRNPRY2_,FRNPRY3,FRNPRY3_,FRNPRY4,FRNPRY4_,FRNPRY5,FRNPRY5_,FRNPRY6,FRNPRY6_,FRNPRY7,FRNPRY7_,FRNPRY8,FRNPRY8_,FRNPRY9,FRNPRY9_
20202,04221354,21,0,1,212,D,03,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221374,12,0,1,181,D,01,D,1,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221384,20,0,1,900,D,03,D,2,D,,H,121,D,200,D,120,D,,A,,A,,A,,A,,A,,A
20202,04221384,20,1,1,121,D,03,D,2,D,119,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221384,20,2,1,200,D,03,D,2,D,26,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221384,20,3,1,120,D,03,D,2,D,88,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221394,10,0,1,181,D,01,D,1,D,99,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221504,3,0,1,101,D,03,D,1,D,502,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221664,3,0,1,107,D,02,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221854,2,0,1,200,D,02,D,1,D,11,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221974,14,0,1,199,D,01,D,1,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221974,15,0,1,201,D,02,D,1,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221974,16,0,1,206,D,02,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222014,15,0,1,173,D,03,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222014,16,0,1,180,D,03,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222134,19,0,1,121,D,01,D,1,D,56,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222134,20,0,1,110,D,02,D,1,D,107,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222134,21,0,1,171,D,02,D,1,D,222,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222144,4,0,1,110,D,01,D,1,D,2018,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222214,7,0,1,200,D,02,D,2,D,66,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222364,12,0,1,173,D,01,D,1,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222364,13,0,1,196,D,03,D,1,D,17,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222364,14,0,1,192,D,03,D,1,D,8,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222364,15,0,1,199,D,03,D,1,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222364,16,0,1,201,D,03,D,1,D,9,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222364,17,0,1,201,D,03,D,1,D,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222424,3,0,1,200,D,01,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222524,4,0,1,100,D,03,D,1,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222554,6,0,1,180,D,03,D,1,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222804,3,0,1,214,D,03,D,1,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222834,2,0,1,173,D,01,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222834,3,0,1,212,D,01,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222924,2,0,1,171,D,03,D,1,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222994,7,0,1,110,D,03,D,1,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222994,8,0,1,100,D,01,D,1,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223034,1,0,1,900,D,02,D,1,D,,H,131,D,130,D,,A,,A,,A,,A,,A,,A,,A
20202,04223034,1,1,1,131,D,02,D,1,D,29,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223034,1,2,1,130,D,02,D,1,D,86,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223254,7,0,1,200,D,01,D,1,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223274,3,0,1,100,D,02,D,1,D,4000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223314,8,0,1,141,D,01,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223314,9,0,1,141,D,01,D,1,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223314,10,0,1,196,D,02,D,1,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223314,11,0,1,192,D,02,D,1,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223314,12,0,1,201,D,02,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223474,11,0,1,214,D,03,D,1,D,4887,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223474,12,0,1,173,D,03,D,1,D,3200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223474,13,0,1,212,D,03,D,1,D,1298,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223524,21,0,1,900,D,01,D,1,D,,H,900,D,215,D,,A,,A,,A,,A,,A,,A,,A
20202,04223524,21,1,1,107,D,01,D,1,D,148,G,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223524,21,2,1,171,D,01,D,1,D,72,G,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223524,21,3,1,199,D,01,D,1,D,26,G,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223524,21,4,1,200,D,01,D,1,D,59,G,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223524,21,5,1,201,D,01,D,1,D,30,G,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223524,21,6,1,205,D,01,D,1,D,43,G,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223524,21,7,1,214,D,01,D,1,D,72,G,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223524,21,8,1,215,D,01,D,1,D,180,G,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223524,22,0,2,220,D,01,D,1,D,,H,215,D,200,D,,A,,A,,A,,A,,A,,A,,A
20202,04223524,22,1,2,215,D,01,D,1,D,30,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223524,22,2,2,200,D,01,D,1,D,10,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223524,23,0,2,220,D,01,D,1,D,,H,201,D,215,D,,A,,A,,A,,A,,A,,A,,A
20202,04223524,23,1,2,201,D,01,D,1,D,118,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223524,23,2,2,215,D,01,D,1,D,682,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
