QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,S17CODEA,S17C_DEA,S17GFTCA,S17G_TCA,SUBEXPX,SUBEXPX_,SUBMO,SUBMO_
20202,04220404,60,0,1,320,D,1,D,199,D,03,D
20202,04220404,61,0,1,355,D,1,D,12,D,13,D
20202,04220404,62,0,2,520,D,1,D,23,D,01,D
20202,04220514,32,0,1,355,D,1,D,13,D,13,D
20202,04220584,22,0,1,610,D,1,D,225,D,01,D
20202,04220584,23,0,1,160,D,1,D,20,D,01,D
20202,04220584,24,0,1,160,D,1,D,20,D,02,D
20202,04220584,25,0,1,160,D,1,D,20,D,03,D
20202,04220614,28,0,1,830,D,1,D,35,D,13,D
20202,04220614,29,0,1,610,D,1,D,159,D,01,D
20202,04220614,30,0,1,610,D,1,D,159,D,02,D
20202,04220614,31,0,1,610,D,1,D,159,D,03,D
20202,04220614,32,0,1,355,D,1,D,64,D,13,D
20202,04220664,19,0,1,830,D,1,D,80,D,13,D
20202,04220664,20,0,1,840,D,1,D,13,D,01,D
20202,04220664,21,0,1,840,D,1,D,13,D,02,D
20202,04220664,22,0,1,840,D,1,D,13,D,03,D
20202,04220664,23,0,1,500,D,1,D,70,D,03,D
20202,04220664,24,0,1,355,D,1,D,13,D,13,D
20202,04220754,17,0,1,355,D,1,D,21,D,13,D
20202,04220764,35,0,1,800,D,1,D,420,D,13,D
20202,04220764,36,0,1,610,D,1,D,180,D,03,D
20202,04220764,37,0,1,610,D,1,D,168,D,01,D
20202,04220764,38,0,1,820,D,1,D,59,D,03,D
20202,04220764,39,0,1,330,D,1,D,20,D,13,D
20202,04220764,40,0,1,355,D,1,D,60,D,13,D
20202,04220784,41,0,1,830,D,1,D,52,D,13,D
20202,04220784,42,0,1,330,D,1,D,16,D,13,D
20202,04220834,19,0,1,830,D,1,D,10,D,13,D
20202,04220844,30,0,1,830,D,1,D,80,D,01,D
20202,04220844,31,0,1,830,D,1,D,80,D,02,D
20202,04220844,32,0,1,210,D,1,D,15,D,01,D
20202,04220844,33,0,1,210,D,1,D,24,D,03,D
20202,04220864,27,0,1,700,D,1,D,20,D,13,D
20202,04220884,44,0,1,830,D,1,D,39,D,13,D
20202,04220884,45,0,1,840,D,1,D,13,D,01,D
20202,04220884,46,0,1,840,D,1,D,13,D,02,D
20202,04220884,47,0,1,840,D,1,D,13,D,03,D
20202,04220884,48,0,1,355,D,1,D,10,D,13,D
20202,04220914,22,0,1,700,D,1,D,18,D,13,D
20202,04220914,23,0,1,355,D,1,D,15,D,13,D
20202,04221004,30,0,1,310,D,1,D,50,D,02,D
20202,04221004,31,0,1,355,D,1,D,25,D,13,D
20202,04221014,19,0,1,840,D,1,D,120,D,01,D
20202,04221014,20,0,1,355,D,1,D,8,D,13,D
20202,04221034,27,0,1,830,D,1,D,70,D,13,D
20202,04221034,28,0,1,700,D,1,D,10,D,13,D
20202,04221034,29,0,1,355,D,1,D,10,D,13,D
20202,04221034,30,0,1,355,D,1,D,10,D,13,D
20202,04221034,31,0,1,355,D,1,D,10,D,13,D
20202,04221034,32,0,2,320,D,1,D,10,D,01,D
20202,04221054,26,0,2,520,D,1,D,16,D,01,D
20202,04221074,33,0,1,500,D,1,D,40,D,02,D
20202,04221074,34,0,1,520,D,1,D,17,D,01,D
20202,04221074,35,0,1,520,D,1,D,17,D,02,D
20202,04221074,36,0,1,210,D,1,D,10,D,13,D
20202,04221074,37,0,1,330,D,1,D,5,D,13,D
20202,04221074,38,0,1,340,D,1,D,4,D,02,D
20202,04221074,39,0,1,340,D,1,D,8,D,03,D
20202,04221094,32,0,1,840,D,1,D,13,D,01,D
20202,04221094,33,0,1,840,D,1,D,13,D,02,D
20202,04221094,34,0,1,840,D,1,D,13,D,03,D
20202,04221094,35,0,1,355,D,1,D,13,D,13,D
20202,04221094,36,0,1,355,D,1,D,2,D,13,D
20202,04221094,37,0,1,355,D,1,D,10,D,13,D
20202,04221094,38,0,1,355,D,1,D,5,D,03,D
20202,04221094,39,0,1,355,D,1,D,12,D,13,D
20202,04221094,40,0,1,330,D,1,D,10,D,13,D
20202,04221094,41,0,1,370,D,1,D,100,D,01,D
20202,04221094,42,0,1,370,D,1,D,100,D,02,D
20202,04221094,43,0,1,370,D,1,D,120,D,03,D
20202,04221114,21,0,1,520,D,1,D,100,D,01,D
