QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,NUMYUPD,NUMYUPD_,TOTYUPDX,TOTY_PDX,TOTYUPDY,TOTY_PDY
20203,04392232,33,4,1,,A,43,E,140,D
20203,04392932,10,0,1,1,D,,H,,A
20203,04392932,10,1,1,,A,20,E,210,D
20203,04392932,10,2,1,,A,30,E,220,D
20203,04393572,22,0,1,1,D,,H,,A
20203,04393572,22,1,1,,A,68,E,100,D
20203,04393572,22,2,1,,A,57,E,110,D
20203,04393572,22,3,1,,A,39,E,120,D
20203,04393572,22,4,1,,A,6,E,140,D
20203,04393572,22,5,1,,A,80,E,150,D
20203,04394174,32,0,1,2,D,,H,,A
20203,04394174,32,1,1,,A,486,E,100,D
20203,04394174,32,2,1,,A,134,E,110,D
20203,04394174,32,3,1,,A,234,E,120,D
20203,04394174,32,4,1,,A,661,E,130,D
20203,04394174,32,5,1,,A,4,E,140,D
20203,04394174,32,6,1,,A,1699,E,150,D
20203,04394174,32,7,1,,A,16,E,160,D
20203,04394174,32,8,1,,A,212,E,190,D
20203,04394174,32,9,1,,A,135,E,210,D
20203,04394174,32,10,1,,A,419,E,220,D
20203,04394852,30,0,1,1,D,,H,,A
20203,04394852,30,1,1,,A,59,E,100,D
20203,04394852,30,2,1,,A,20,E,110,D
20203,04394852,30,3,1,,A,221,E,130,D
20203,04399082,32,0,1,3,D,,H,,A
20203,04399082,32,1,1,,A,226,E,100,D
20203,04399082,32,2,1,,A,58,E,110,D
